period,coach,n_matches,gf,ga,pts,start_date,end_date,coach_avg_GD_vs_xGD,period_p_value,day_type_p_value
avondje_nac_rat,Wim Rijsbergen,10,11,10,14,1995-07-01,1997-06-30,-0.5483349800109001,0.30122946465701134,0.27699964151772594
avondje_nac_rat,Ton Lokhoff,16,30,31,23,2003-07-01,2005-12-30,-0.6047034561629375,0.16746350082903283,0.1488927284757386
avondje_nac_rat,Robert Maaskant,4,4,6,4,2015-01-02,2015-10-06,-0.8256168365459999,0.29027199580427276,0.2694928893779982
avondje_nac_rat,Cees Lok,4,4,6,7,2006-01-02,2006-04-23,-0.9051324129125002,0.5066125656628512,0.4878618121535763
avondje_nac_rat,Mark Schenning,4,3,6,4,2005-07-01,2006-06-30,-0.95176893473,0.29901278673537285,0.2814938600661119
avondje_nac_rat,Eric Hellemons,4,2,9,1,2014-10-13,2015-01-01,-1.79266706109,0.13230873388663666,0.1276066637484852
pre_avondje,Henk Wullems,25,35,36,31,1973-05-02,1974-11-28,0.26564276218404,0.43576809811222705,0.46581410885407937
pre_avondje,Bob Janse,31,39,33,50,1966-07-01,1968-04-09,0.13747685186348385,0.5010175538972783,0.5415542636951405
pre_avondje,Leo Canjels,54,88,66,87,1968-04-09,1971-06-30,0.08576555826024072,0.5977248464081437,0.6576421059611357
pre_avondje,Jo Jansen,11,18,18,15,1974-11-29,1975-06-30,0.06746697425636362,0.8584450865035492,0.8711084026022246
pre_avondje,Siem Plooijer,62,98,71,94,1961-07-01,1966-06-30,-0.09740060760161286,0.5319698792797418,0.5625250779864509
pre_avondje,Ben Peeters,32,32,40,39,1971-07-01,1973-05-01,-0.2695184201016563,0.2562604863617122,0.2753875796006291
pre_avondje,Bob Maaskant,7,5,7,9,1975-07-01,1977-06-30,-0.502857668059857,0.5002651588280786,0.5062888653282263
sunday_bea,Wim Rijsbergen,4,7,5,6,1995-07-01,1997-06-30,1.1221382319955,0.5226415684433418,0.5030282550097983
sunday_bea,Jo Jansen,4,6,1,8,1979-01-22,1983-06-30,0.5211288183937499,0.7223415810144664,0.6048189467329916
sunday_bea,Bob Maaskant,5,8,7,8,1975-07-01,1977-06-30,0.47989780903039997,0.6611047171172049,0.525382068669051
sunday_bea,Bob Maaskant,1,0,0,1,1984-07-01,1986-06-30,-0.21021723746999998,NaN,NaN
sunday_bea,Ronald Spelbos,6,9,13,5,1993-01-01,1995-06-30,-0.3305221398638333,0.3521815185037063,0.6683055388945411
sunday_bea,Hans Dorjee,3,3,4,3,1977-07-01,1979-06-30,-0.538744270798,0.5942943821252022,0.7364617690205107
sunday_rat,Mark Schenning,3,6,4,6,2005-07-01,2006-06-30,1.146305958429,0.3745909050630928,0.3934663261943172
sunday_rat,Nebojsa Gudelj,11,23,12,20,2012-11-21,2014-10-13,1.0322053649182727,0.016648092180666665,0.027331985336040747
sunday_rat,Kees Zwamborn,3,4,5,2,1999-03-23,2000-06-30,0.7589946786593332,0.052476684735855046,0.0590870191193756
sunday_rat,John Karelse,7,13,9,15,2011-07-01,2012-10-23,0.7322825619132856,0.21611699780693933,0.25428638226071276
sunday_rat,Adrie Bogers,1,2,1,3,2012-10-23,2012-11-21,0.530043900012,NaN,NaN
sunday_rat,Wim Rijsbergen,4,5,5,5,1995-07-01,1997-06-30,0.4091176837695001,0.6992045017529079,0.720198325192513
sunday_rat,Stijn Vreven,5,8,8,6,2017-01-01,2018-06-30,0.22736608982059997,0.7952245589526228,0.8274660685826285
sunday_rat,Henk ten Cate,14,16,12,22,2000-07-01,2003-06-30,0.20042310442292854,0.5423795377186283,0.6360684641859046
sunday_rat,Carl Hoefkens,9,12,15,11,2024-07-01,2028-12-31,0.16514791382900004,0.6846795655774189,0.7515778569813261
sunday_rat,Eric Hellemons,1,0,1,0,2014-10-13,2015-01-01,0.11195027828700022,NaN,NaN
sunday_rat,Mitchell van der Gaag,3,6,6,4,2018-07-01,2019-03-18,0.1097995042833333,0.8850089282571159,0.9140642976912362
sunday_rat,Ruud Brood,1,1,1,1,2019-03-22,2019-12-31,-0.08527743816999989,NaN,NaN
sunday_rat,Ronald Spelbos,1,3,4,0,1998-10-13,1999-03-22,-0.11411941052000008,NaN,NaN
sunday_rat,Ernie Brandts,9,14,19,7,2006-07-01,2008-06-30,-0.25923387871900005,0.7194477929791467,0.6938773894525678
sunday_rat,Herbert Neumann,5,10,13,4,1997-07-01,1998-10-08,-0.43462357521019995,0.6508430045883726,0.6330550932042438
sunday_rat,Cees Lok,2,5,9,1,2006-01-02,2006-04-23,-0.5373530387845,0.8179642939018702,0.8079142078826025
sunday_rat,Robert Maaskant,2,4,5,1,2015-01-02,2015-10-06,-0.59193992614,0.25900110370054147,0.2475596276804248
sunday_rat,Ton Lokhoff,14,21,25,16,2003-07-01,2005-12-30,-0.6254636645310715,0.19769129375342673,0.21226635852044132
sunday_rat,Gert Aandewiel,5,5,8,6,2010-08-21,2011-06-30,-0.9632287979119999,0.2925991451163532,0.2899248785088089
sunday_rat,Robert Maaskant,12,10,19,9,2008-07-01,2010-08-20,-1.1708973944204168,0.08594923071864136,0.09969937782759208
uit,Jo Jansen,12,9,21,11,1974-11-29,1975-06-30,0.6860140711070833,0.16225077439113916,0.16225077439113916
uit,Ronald Spelbos,34,51,57,44,1993-01-01,1995-06-30,0.6651168851287059,0.023385858642496673,0.023385858642496673
uit,Ernie Brandts,34,45,51,54,2006-07-01,2008-06-30,0.5162394344803235,0.07071117979282363,0.07071117979282363
uit,Cees Lok,9,13,18,5,2006-01-02,2006-04-23,0.45279990964355565,0.3443901067044374,0.3443901067044374
uit,Kees Zwamborn,4,7,10,3,1999-03-23,2000-06-30,0.44556067883874995,0.61769238480193,0.61769238480193
uit,Stijn Vreven,17,15,26,12,2017-01-01,2018-06-30,0.3884366119624706,0.20163921173690066,0.20163921173690066
uit,Robert Maaskant,9,10,17,7,2015-01-02,2015-10-06,0.37945450676822223,0.36444385384424655,0.36444385384424655
uit,Adrie Bogers,2,4,3,3,2012-10-23,2012-11-21,0.35462707281499983,0.8966315641027003,0.8966315641027003
uit,Henk ten Cate,51,63,80,63,2000-07-01,2003-06-30,0.305982159633804,0.11278431892404979,0.11278431892404979
uit,Ruud Brood,4,4,6,3,2019-03-22,2019-12-31,0.2982623875174999,0.46057283359858303,0.46057283359858303
uit,Eric Hellemons,4,3,5,4,2014-10-13,2015-01-01,0.27980910241824997,0.6766889075751363,0.6766889075751363
uit,Herbert Neumann,22,21,35,20,1997-07-01,1998-10-08,0.15342838384872728,0.4982710462666483,0.4982710462666484
uit,Siem Plooijer,62,103,128,79,1961-07-01,1966-06-30,0.046173133196258015,0.6682386418773443,0.6682386418773443
uit,Wim Rijsbergen,34,48,65,39,1995-07-01,1997-06-30,0.039578390473058785,0.7302924982252523,0.7302924982252523
uit,Leo Canjels,54,48,104,40,1968-04-09,1971-06-30,-0.012799544466037035,0.7768610161755741,0.7768610161755741
uit,Henk Wullems,24,25,64,10,1973-05-02,1974-11-28,-0.029495282718833244,0.8987139985268386,0.8987139985268388
uit,Ben Peeters,33,28,72,19,1971-07-01,1973-05-01,-0.11732677076739394,0.8525752657563305,0.8525752657563305
uit,Ton Lokhoff,35,44,67,38,2003-07-01,2005-12-30,-0.16576309374422854,0.7359115815792782,0.7359115815792782
uit,Carl Hoefkens,25,20,52,11,2024-07-01,2028-12-31,-0.18264938592935995,0.739417764214283,0.739417764214283
uit,John Karelse,22,20,46,11,2011-07-01,2012-10-23,-0.1894476007335455,0.7324046956759307,0.7324046956759307
uit,Hans Dorjee,26,20,48,18,1977-07-01,1979-06-30,-0.21078911882253845,0.632153506614969,0.632153506614969
uit,Robert Maaskant,40,50,73,50,2008-07-01,2010-08-20,-0.23009031116880002,0.610762109524434,0.610762109524434
uit,Mark Schenning,8,8,17,5,2005-07-01,2006-06-30,-0.27477888763125,0.6130468763766259,0.6130468763766259
uit,Nebojsa Gudelj,31,31,61,24,2012-11-21,2014-10-13,-0.27528446720487104,0.5631765541973031,0.5631765541973031
uit,Ronald Spelbos,8,5,16,3,1998-10-13,1999-03-22,-0.37329933792299996,0.47131330865437715,0.47131330865437715
uit,Bob Maaskant,34,25,78,21,1975-07-01,1977-06-30,-0.37601406609326476,0.28309554571271245,0.28309554571271245
uit,Jo Jansen,76,72,180,46,1979-01-22,1983-06-30,-0.39469813673122367,0.08645665967640008,0.08645665967640008
uit,Bob Janse,33,27,71,19,1966-07-01,1968-04-09,-0.5237917863960605,0.1412053128705118,0.1412053128705118
uit,Gert Aandewiel,16,16,36,12,2010-08-21,2011-06-30,-0.620497267693125,0.2128776762636097,0.2128776762636097
uit,Bob Maaskant,17,16,50,6,1984-07-01,1986-06-30,-0.7194804198592353,0.1570947727119962,0.1570947727119962
uit,Mitchell van der Gaag,13,7,38,2,2018-07-01,2019-03-18,-1.2762641494084617,0.010138924040751384,0.010138924040751384
weekday_bea,Ronald Spelbos,7,17,5,16,1993-01-01,1995-06-30,1.4803573574315716,0.06618709386066154,0.016377308189396807
weekday_bea,Wim Rijsbergen,4,5,0,8,1995-07-01,1997-06-30,0.63888615369975,0.9806181258258813,0.35205616697926606
weekday_bea,Hans Dorjee,3,7,5,6,1977-07-01,1979-06-30,0.5251824657106666,0.9052437011562835,0.6276681028847221
weekday_bea,Bob Maaskant,3,3,4,3,1984-07-01,1986-06-30,0.30813415845666664,0.5146583473191533,0.5189921677370125
weekday_bea,Jo Jansen,7,11,8,14,1979-01-22,1983-06-30,0.29456145422857133,0.34605875911607714,0.44955236211798655
weekday_bea,Bob Maaskant,2,2,1,3,1975-07-01,1977-06-30,-0.24960741400500008,0.6359658115321074,0.9215231270847434
weekday_rat,Stijn Vreven,3,9,5,4,2017-01-01,2018-06-30,1.2970973650566668,0.47640556455488636,0.5472585633104787
weekday_rat,Gert Aandewiel,2,5,4,3,2010-08-21,2011-06-30,0.7713117301464999,0.688052133062674,0.7570953068459124
weekday_rat,Ernie Brandts,8,10,6,15,2006-07-01,2008-06-30,0.27872464060999996,0.08230041854608394,0.30654791216729355
weekday_rat,Henk ten Cate,11,18,10,21,2000-07-01,2003-06-30,0.23592093315872723,0.017385771284307704,0.1814694501154218
weekday_rat,Mark Schenning,2,3,2,4,2005-07-01,2006-06-30,0.19620221853499986,0.5006544336734545,0.7099446070803528
weekday_rat,Robert Maaskant,2,2,3,3,2015-01-02,2015-10-06,0.17275679111450004,0.6423624681676938,0.8177242177332957
weekday_rat,Robert Maaskant,7,10,6,9,2008-07-01,2010-08-20,0.12074441569157147,0.3486795922686722,0.6993293483883831
weekday_rat,Ton Lokhoff,4,6,4,4,2003-07-01,2005-12-30,-0.182312816383,0.9100134604062172,0.9307002998857828
weekday_rat,Carl Hoefkens,3,3,4,2,2024-07-01,2028-12-31,-0.38062930107666665,0.8830986790544691,0.3972974880201612
weekday_rat,Cees Lok,2,3,4,1,2006-01-02,2006-04-23,-0.602721154695,0.6476059940450731,0.4377531572619249
weekday_rat,Herbert Neumann,6,4,7,6,1997-07-01,1998-10-08,-0.8778519133733335,0.3061948532887808,0.1589745948151124
weekday_rat,Ruud Brood,3,1,5,2,2019-03-22,2019-12-31,-1.0568497776980001,0.5023739888943537,0.3871813991030546
weekday_rat,Mitchell van der Gaag,2,1,4,1,2018-07-01,2019-03-18,-1.065162420275,0.5858911530540474,0.4906785216759855
weekday_rat,Wim Rijsbergen,3,5,5,3,1995-07-01,1997-06-30,-1.118227899075,0.043885953301770475,0.027209485596232385
weekday_rat,John Karelse,3,4,6,3,2011-07-01,2012-10-23,-1.2701335748066667,0.5005853477358635,0.4095778624484149
weekday_rat,Nebojsa Gudelj,3,3,6,2,2012-11-21,2014-10-13,-1.4393111864733334,0.3404737463325227,0.2675647881767951
weekday_rat,Adrie Bogers,1,0,1,0,2012-10-23,2012-11-21,-1.53431820869,NaN,NaN
weekday_rat,Ronald Spelbos,5,3,10,0,1998-10-13,1999-03-22,-1.6849727869026,0.006990732034094993,0.003932142424880063
